Order_Number,County,Item_Number,Promoted_Sale,Quantity,Price,Date,Service,Month,Item
16-04268-98063,London,264470156666,No,3,54.00,11/12/19,Royal Mail 2nd Class,December,Neo G 456
21-04268-41130,East Dunbartonshire,264465235925,No,1,4.99,10/12/19,Royal Mail 2nd Class,December,Optrex Dull Eyes 10ml
06-04267-25351,Clackmannan,264204441497,No,1,14.00,10/12/19,Royal Mail 2nd Class,December,Clearblue Digital Ovulation
10-04265-48996,London,264390771913,No,1,8.00,10/12/19,Royal Mail Tracked 24,December,Stanley STF20910-XJ
13-04261-64114,Merseyside,263684287080,No,1,1.99,09/12/19,Royal Mail 2nd Class,December,"Harris Smoothglide 1"""
01-04260-09547,Buckinghamshire,264404306326,No,1,25.00,09/12/19,Royal Mail 2nd Class,December,Neo G 893
15-04254-86166,Merseyside,264431862376,No,1,15.00,08/12/19,Royal Mail 2nd Class,December,Tweezerman 1256-RGGRB
18-04251-11128,Essex,263718390114,No,1,6.95,07/12/19,Royal Mail 2nd Class,December,Unibond No More Nails
02-04251-26839,West Midlands,264404675133,No,3,30.00,07/12/19,Royal Mail 2nd Class,December,Clearblue Pregnancy Test
03-04248-88332,Tyne and Wear,264393632022,No,1,25.00,07/12/19,Royal Mail 2nd Class,December,Neo G 453
14-04242-77248,East Riding of Yorkshire,264450071732,No,1,16.00,05/12/19,Royal Mail 2nd Class,December,Neo G 396
03-04243-52914,West Yorkshire,264473469373,No,1,6.00,05/12/19,Royal Mail 2nd Class,December,Compeed 55709992
21-04238-62470,London,264393632022,No,1,25.00,05/12/19,Royal Mail 2nd Class,December,Neo G 453
24-04244-03716,Kent,264465239459,No,1,15.00,04/12/19,Royal Mail 2nd Class,December,Tweezerman 1230-CR
14-04237-05308,Cheshire,264450071732,No,1,16.00,04/12/19,Royal Mail 2nd Class,December,Neo G 396
07-04236-39467,London,263718086584,No,1,5.99,04/12/19,Royal Mail 2nd Class,December,Unibond No More Nails
22-04234-79792,Cambridgeshire,264393632022,No,1,25.00,04/12/19,Royal Mail 2nd Class,December,Neo G 453
04-04235-84670,London,264465196093,No,1,12.00,04/12/19,Royal Mail 2nd Class,December,Gillette Mach3 Turbo XL
19-04231-73357,North Lanarkshire,264265287273,No,1,4.99,03/12/19,Royal Mail 2nd Class,December,Scholl Party Feet Ball of Foot
21-04227-77968,Norfolk,264470181391,No,1,0.00,03/12/19,Royal Mail 2nd Class,December,Neo G 456
10-04222-61212,Cheshire,264470156666,No,1,18.00,02/12/19,Royal Mail 2nd Class,December,Neo G 456
17-04216-52523,Bedfordshire,264393632022,No,1,25.00,01/12/19,Royal Mail 2nd Class,December,Neo G 453
08-04214-39394,Offaly,264404576069,No,1,31.00,30/11/19,Royal Mail International Tracked,November,JML Mineral Magic V13171
14-04213-86240,East Yorkshire,264450071732,No,1,16.00,30/11/19,Royal Mail 2nd Class,November,Neo G 396
25-04212-64144,Warwickshire,264465176463,No,1,15.00,30/11/19,Royal Mail 2nd Class,November,Gillette Fusion 5 Proshield
04-04210-73245,Stirlingshire,264450071732,No,1,16.00,29/11/19,Royal Mail 2nd Class,November,Neo G 396
27-04197-42278,North Yorkshire,264393695399,No,1,13.00,27/11/19,Royal Mail 2nd Class,November,Neo G 722
07-04183-18764,Buckinghamshire,264393705626,No,1,17.00,24/11/19,Royal Mail 2nd Class,November,Neo G 885
23-04182-06418,Aberdeen City,264393705626,No,1,17.00,24/11/19,Royal Mail 2nd Class,November,Neo G 885
04-04179-00341,Gwynedd,264380796496,No,1,13.00,23/11/19,Royal Mail Tracked 24,November,"Yale Telescopic Letter Plate 12"" White"
